game_date,game_id,team_home,team_away,period,clock,slug_team,player1,description,shot_pts
2021-10-19,22100001,MIL,BKN,1,10:47,BKN,Nic Claxton,[BKN 2-0] Claxton Alley Oop Dunk Shot: Made (2 PTS) Assist: Harden (1 AST),2
2021-10-19,22100002,LAL,GSW,1,11:53,LAL,DeAndre Jordan,[LAL 2-0] Jordan Alley Oop Layup shot: Made (2 PTS) Assist: James (1 AST),2
2021-10-20,22100003,CHA,IND,1,11:32,IND,Domantas Sabonis,[IND 2-0] Sabonis Cutting Layup Shot: Made (2 PTS) Assist: Holiday (1 AST),2
2021-10-20,22100004,DET,CHI,1,10:58,CHI,Zach LaVine,[CHI 2-0] LaVine Driving Layup Shot: Made (2 PTS) Assist: Vucevic (1 AST),2
2021-10-20,22100005,NYK,BOS,1,11:37,NYK,Julius Randle,[NYK 3-0] Randle 3pt Shot: Made (3 PTS),3
2021-10-20,22100006,TOR,WAS,1,11:46,TOR,Fred VanVleet,[TOR 3-0] VanVleet 3pt Shot: Made (3 PTS) Assist: G Dragic (1 AST),3
2021-10-20,22100007,MEM,CLE,1,11:46,CLE,Evan Mobley,[CLE 2-0] Mobley Pullup Jump shot: Made (2 PTS),2
2021-10-20,22100008,MIN,HOU,1,11:00,MIN,Anthony Edwards,[MIN 1-0] Edwards Free Throw 2 of 2 (1 PTS),1
2021-10-20,22100009,NOP,PHI,1,11:42,PHI,Joel Embiid,[PHI 2-0] Embiid Fadeaway Jump Shot: Made (2 PTS),2
2021-10-20,22100010,SAS,ORL,1,11:45,SAS,Keldon Johnson,[SAS 1-0] Johnson Free Throw 2 of 2 (1 PTS),1
2021-10-20,22100011,UTA,OKC,1,11:22,OKC,Shai Gilgeous-Alexander,[OKC 2-0] Gilgeous-Alexander Driving Layup Shot: Made (2 PTS),2
2021-10-20,22100012,PHX,DEN,1,11:45,DEN,Nikola Jokic,[DEN 2-0] Jokic Pullup Jump shot: Made (2 PTS) Assist: Porter Jr. (1 AST),2
2021-10-20,22100013,POR,SAC,1,11:15,POR,Robert Covington,[POR 3-0] Covington 3pt Shot: Made (3 PTS) Assist: Lillard (1 AST),3
2021-10-21,22100014,ATL,DAL,1,11:42,DAL,Tim Hardaway Jr.,[DAL 3-0] Hardaway Jr. 3pt Shot: Made (3 PTS) Assist: Doncic (1 AST),3
2021-10-21,22100015,MIA,MIL,1,11:40,MIA,Bam Adebayo,[MIA 2-0] Adebayo Driving Layup Shot: Made (2 PTS),2
