"idGame","slugTeam","lineup","lineupStint","numberPeriod","initialScoreTeam","initialScoreOpp","finalScoreTeam","finalScoreOpp","initialTime","finalTime","totalScoreTeam","totalScoreOpp","netScoreTeam","totalTime"
"22100001","BKN","Blake Griffin, James Harden, Joe Harris, Kevin Durant, Nic Claxton",0,"1",0,0,8,15,0,286,8,15,-7,286
"22100001","MIL","Brook Lopez, Giannis Antetokounmpo, Grayson Allen, Jrue Holiday, Khris Middleton",0,"1",0,0,10,6,0,235,10,6,4,235
"22100001","BKN","Blake Griffin, James Harden, Kevin Durant, Nic Claxton, Patty Mills",1,"1",8,15,12,23,286,407,4,8,-4,121
"22100001","MIL","Giannis Antetokounmpo, Grayson Allen, Jrue Holiday, Khris Middleton, Pat Connaughton",1,"1",10,6,23,12,235,407,13,6,7,172
"22100001","BKN","James Harden, Kevin Durant, Nic Claxton, Patty Mills, Paul Millsap",2,"1",12,23,12,23,407,407,0,0,0,0
"22100001","MIL","George Hill, Giannis Antetokounmpo, Jrue Holiday, Khris Middleton, Pat Connaughton",2,"1",23,12,25,12,407,456,2,0,2,49
"22100001","BKN","Kevin Durant, LaMarcus Aldridge, Nic Claxton, Patty Mills, Paul Millsap",3,"1",12,23,12,23,407,407,0,0,0,0
"22100001","MIL","George Hill, Jrue Holiday, Khris Middleton, Pat Connaughton, Thanasis Antetokounmpo",3,"1",25,12,25,12,456,471,0,0,0,15
"22100001","BKN","Jevon Carter, Kevin Durant, LaMarcus Aldridge, Patty Mills, Paul Millsap",4,"1",12,23,15,31,407,536,3,8,-5,129
"22100001","MIL","Brook Lopez, George Hill, Jrue Holiday, Pat Connaughton, Thanasis Antetokounmpo",4,"1",25,12,31,15,471,536,6,3,3,65
"22100001","BKN","James Harden, Jevon Carter, LaMarcus Aldridge, Patty Mills, Paul Millsap",5,"1",15,31,17,33,536,560,2,2,0,24
"22100001","MIL","Brook Lopez, George Hill, Jordan Nwora, Pat Connaughton, Thanasis Antetokounmpo",5,"1",31,15,37,25,536,720,6,10,-4,184
"22100001","BKN","James Harden, Joe Harris, LaMarcus Aldridge, Patty Mills, Paul Millsap",6,"1",17,33,25,37,560,720,8,4,4,160
"22100001","MIL","Giannis Antetokounmpo, Grayson Allen, Jordan Nwora, Jrue Holiday, Sandro Mamukelashvili",6,"2",37,25,50,37,720,994,13,12,1,274
"22100001","BKN","James Harden, James Johnson, Joe Harris, Nic Claxton, Patty Mills",7,"2",25,37,31,39,720,805,6,2,4,85
"22100001","MIL","Brook Lopez, Giannis Antetokounmpo, Grayson Allen, Jrue Holiday, Sandro Mamukelashvili",7,"2",50,37,50,37,994,994,0,0,0,0
"22100001","BKN","James Harden, James Johnson, Jevon Carter, Joe Harris, Nic Claxton",8,"2",31,39,37,50,805,994,6,11,-5,189
"22100001","MIL","Brook Lopez, Giannis Antetokounmpo, Grayson Allen, Jrue Holiday, Khris Middleton",8,"2",50,37,55,37,994,1100,5,0,5,106
"22100001","BKN","James Harden, Jevon Carter, Joe Harris, Kevin Durant, Nic Claxton",9,"2",37,50,37,50,994,1013,0,0,0,19
"22100001","MIL","Brook Lopez, Giannis Antetokounmpo, Jrue Holiday, Khris Middleton, Pat Connaughton",9,"2",55,37,55,37,1100,1100,0,0,0,0
"22100001","BKN","James Harden, Jevon Carter, Joe Harris, Kevin Durant, LaMarcus Aldridge",10,"2",37,50,37,55,1013,1100,0,5,-5,87
"22100001","MIL","Brook Lopez, George Hill, Jrue Holiday, Khris Middleton, Pat Connaughton",10,"2",55,37,61,48,1100,1247,6,11,-5,147
"22100001","BKN","Jevon Carter, Joe Harris, Kevin Durant, LaMarcus Aldridge, Patty Mills",11,"2",37,55,40,57,1100,1128,3,2,1,28
"22100001","MIL","Brook Lopez, George Hill, Jordan Nwora, Khris Middleton, Pat Connaughton",11,"2",61,48,61,50,1247,1288,0,2,-2,41
"22100001","BKN","Blake Griffin, Joe Harris, Kevin Durant, LaMarcus Aldridge, Patty Mills",12,"2",40,57,53,61,1128,1341,13,4,9,213
"22100001","MIL","George Hill, Giannis Antetokounmpo, Jordan Nwora, Khris Middleton, Pat Connaughton",12,"2",61,50,66,59,1288,1440,5,9,-4,152
"22100001","BKN","Blake Griffin, James Harden, Kevin Durant, LaMarcus Aldridge, Patty Mills",13,"2",53,61,53,61,1341,1341,0,0,0,0
"22100001","MIL","Brook Lopez, George Hill, Giannis Antetokounmpo, Grayson Allen, Khris Middleton",13,"3",66,59,79,68,1440,1696,13,9,4,256
"22100001","BKN","Blake Griffin, James Harden, Kevin Durant, Nic Claxton, Patty Mills",14,"2",53,61,59,66,1341,1440,6,5,1,99
"22100001","MIL","Brook Lopez, Giannis Antetokounmpo, Grayson Allen, Khris Middleton, Pat Connaughton",14,"3",79,68,81,70,1696,1752,2,2,0,56
"22100001","BKN","Blake Griffin, James Harden, Joe Harris, Kevin Durant, Nic Claxton",15,"3",59,66,68,79,1440,1696,9,13,-4,256
"22100001","MIL","Giannis Antetokounmpo, Grayson Allen, Jordan Nwora, Khris Middleton, Pat Connaughton",15,"3",81,70,84,73,1752,1837,3,3,0,85
"22100001","BKN","Blake Griffin, James Harden, Joe Harris, Kevin Durant, LaMarcus Aldridge",16,"3",68,79,70,81,1696,1752,2,2,0,56
"22100001","MIL","Giannis Antetokounmpo, Jordan Nwora, Justin Robinson, Khris Middleton, Pat Connaughton",16,"3",84,73,85,74,1837,1862,1,1,0,25
"22100001","BKN","Blake Griffin, Joe Harris, Kevin Durant, LaMarcus Aldridge, Patty Mills",17,"3",70,81,73,84,1752,1837,3,3,0,85
"22100001","MIL","Jordan Nwora, Justin Robinson, Khris Middleton, Pat Connaughton, Thanasis Antetokounmpo",17,"3",85,74,88,75,1862,1947,3,1,2,85
"22100001","BKN","James Johnson, Joe Harris, Kevin Durant, LaMarcus Aldridge, Patty Mills",18,"3",73,84,73,84,1837,1837,0,0,0,0
"22100001","MIL","George Hill, Jordan Nwora, Justin Robinson, Khris Middleton, Thanasis Antetokounmpo",18,"3",88,75,88,75,1947,1947,0,0,0,0
"22100001","BKN","James Johnson, Jevon Carter, Kevin Durant, LaMarcus Aldridge, Patty Mills",19,"3",73,84,77,90,1837,1997,4,6,-2,160
"22100001","MIL","Brook Lopez, George Hill, Jordan Nwora, Khris Middleton, Thanasis Antetokounmpo",19,"3",88,75,90,77,1947,1997,2,2,0,50
"22100001","BKN","James Harden, James Johnson, Kevin Durant, LaMarcus Aldridge, Patty Mills",20,"3",77,90,77,90,1997,1997,0,0,0,0
"22100001","MIL","Brook Lopez, George Hill, Jordan Nwora, Pat Connaughton, Thanasis Antetokounmpo",20,"3",90,77,97,85,1997,2160,7,8,-1,163
"22100001","BKN","James Harden, James Johnson, Joe Harris, LaMarcus Aldridge, Patty Mills",21,"3",77,90,77,90,1997,1997,0,0,0,0
"22100001","MIL","Brook Lopez, George Hill, Giannis Antetokounmpo, Jordan Nwora, Pat Connaughton",21,"4",97,85,97,85,2160,2176,0,0,0,16
"22100001","BKN","James Harden, James Johnson, Joe Harris, Nic Claxton, Patty Mills",22,"3",77,90,85,97,1997,2160,8,7,1,163
"22100001","BKN","James Harden, James Johnson, Joe Harris, Nic Claxton, Patty Mills",22,"4",85,97,93,103,2160,2379,8,6,2,219
"22100001","MIL","Brook Lopez, Giannis Antetokounmpo, Grayson Allen, Jordan Nwora, Pat Connaughton",22,"4",97,85,103,93,2176,2379,6,8,-2,203
"22100001","BKN","James Harden, James Johnson, Jevon Carter, Nic Claxton, Patty Mills",23,"4",93,103,93,103,2379,2379,0,0,0,0
"22100001","MIL","Giannis Antetokounmpo, Grayson Allen, Jordan Nwora, Justin Robinson, Pat Connaughton",23,"4",103,93,103,93,2379,2379,0,0,0,0
"22100001","BKN","James Harden, Jevon Carter, Kevin Durant, Nic Claxton, Patty Mills",24,"4",93,103,93,106,2379,2392,0,3,-3,13
"22100001","MIL","Giannis Antetokounmpo, Grayson Allen, Jordan Nwora, Justin Robinson, Khris Middleton",24,"4",103,93,106,93,2379,2392,3,0,3,13
"22100001","BKN","Blake Griffin, James Harden, Jevon Carter, Kevin Durant, Patty Mills",25,"4",93,106,95,112,2392,2453,2,6,-4,61
"22100001","MIL","George Hill, Giannis Antetokounmpo, Grayson Allen, Jordan Nwora, Khris Middleton",25,"4",106,93,112,95,2392,2464,6,2,4,72
"22100001","BKN","Blake Griffin, James Johnson, Jevon Carter, Kevin Durant, Patty Mills",26,"4",95,112,101,115,2453,2655,6,3,3,202
"22100001","MIL","George Hill, Giannis Antetokounmpo, Grayson Allen, Khris Middleton, Pat Connaughton",26,"4",112,95,112,95,2464,2530,0,0,0,66
"22100001","BKN","DeAndre' Bembry, James Johnson, Jevon Carter, Kevin Durant, Patty Mills",27,"4",101,115,101,115,2655,2655,0,0,0,0
"22100001","MIL","Brook Lopez, George Hill, Grayson Allen, Khris Middleton, Pat Connaughton",27,"4",112,95,115,101,2530,2655,3,6,-3,125
"22100001","BKN","Cam Thomas, DeAndre' Bembry, James Johnson, Jevon Carter, Patty Mills",28,"4",101,115,101,115,2655,2655,0,0,0,0
"22100001","MIL","Brook Lopez, Grayson Allen, Jordan Nwora, Khris Middleton, Pat Connaughton",28,"4",115,101,115,101,2655,2655,0,0,0,0
"22100001","BKN","Bruce Brown, Cam Thomas, DeAndre' Bembry, James Johnson, Jevon Carter",29,"4",101,115,104,127,2655,2880,3,12,-9,225
"22100001","MIL","Brook Lopez, Giannis Antetokounmpo, Jordan Nwora, Khris Middleton, Pat Connaughton",29,"4",115,101,117,102,2655,2698,2,1,1,43
"22100001","MIL","Giannis Antetokounmpo, Jordan Nwora, Khris Middleton, Pat Connaughton, Thanasis Antetokounmpo",30,"4",117,102,117,102,2698,2732,0,0,0,34
"22100001","MIL","Jordan Nwora, Khris Middleton, Pat Connaughton, Sandro Mamukelashvili, Thanasis Antetokounmpo",31,"4",117,102,119,102,2732,2762,2,0,2,30
"22100001","MIL","Jordan Nwora, Justin Robinson, Pat Connaughton, Sandro Mamukelashvili, Thanasis Antetokounmpo",32,"4",119,102,125,104,2762,2804,6,2,4,42
"22100001","MIL","Georgios Kalaitzakis, Jordan Nwora, Justin Robinson, Sandro Mamukelashvili, Thanasis Antetokounmpo",33,"4",125,104,127,104,2804,2880,2,0,2,76
"22100002","GSW","Andrew Wiggins, Draymond Green, Jordan Poole, Kevon Looney, Stephen Curry",0,"1",0,0,12,14,0,309,12,14,-2,309
"22100002","LAL","Anthony Davis, DeAndre Jordan, Kent Bazemore, LeBron James, Russell Westbrook",0,"1",0,0,17,14,0,380,17,14,3,380
"22100002","GSW","Andrew Wiggins, Draymond Green, Jordan Poole, Nemanja Bjelica, Stephen Curry",1,"1",12,14,12,14,309,309,0,0,0,0
"22100002","LAL","Anthony Davis, DeAndre Jordan, Kent Bazemore, LeBron James, Rajon Rondo",1,"1",17,14,17,14,380,380,0,0,0,0
"22100002","GSW","Andre Iguodala, Draymond Green, Jordan Poole, Nemanja Bjelica, Stephen Curry",2,"1",12,14,12,14,309,346,0,0,0,37
"22100002","LAL","Anthony Davis, Carmelo Anthony, Kent Bazemore, LeBron James, Rajon Rondo",2,"1",17,14,23,18,380,506,6,4,2,126
"22100002","GSW","Andre Iguodala, Damion Lee, Draymond Green, Nemanja Bjelica, Stephen Curry",3,"1",12,14,16,20,346,448,4,6,-2,102
"22100002","LAL","Anthony Davis, Carmelo Anthony, Kent Bazemore, Malik Monk, Rajon Rondo",3,"1",23,18,30,21,506,592,7,3,4,86
"22100002","GSW","Andre Iguodala, Damion Lee, Juan Toscano-Anderson, Nemanja Bjelica, Stephen Curry",4,"1",16,20,32,34,448,720,16,14,2,272
"22100002","LAL","Anthony Davis, Carmelo Anthony, Malik Monk, Rajon Rondo, Russell Westbrook",4,"1",30,21,34,32,592,720,4,11,-7,128
"22100002","GSW","Andre Iguodala, Damion Lee, Jordan Poole, Nemanja Bjelica, Otto Porter Jr.",5,"2",32,34,39,41,720,939,7,7,0,219
"22100002","LAL","Carmelo Anthony, Dwight Howard, LeBron James, Malik Monk, Russell Westbrook",5,"2",34,32,40,39,720,926,6,7,-1,206
"22100002","GSW","Andre Iguodala, Jordan Poole, Moses Moody, Nemanja Bjelica, Otto Porter Jr.",6,"2",39,41,41,41,939,971,2,0,2,32
"22100002","LAL","Carmelo Anthony, Dwight Howard, LeBron James, Malik Monk, Rajon Rondo",6,"2",40,39,46,41,926,1049,6,2,4,123
"22100002","GSW","Andre Iguodala, Jordan Poole, Kevon Looney, Moses Moody, Otto Porter Jr.",7,"2",41,41,41,41,971,971,0,0,0,0
"22100002","LAL","Anthony Davis, Dwight Howard, LeBron James, Malik Monk, Rajon Rondo",7,"2",46,41,46,41,1049,1108,0,0,0,59
"22100002","GSW","Andrew Wiggins, Jordan Poole, Kevon Looney, Moses Moody, Otto Porter Jr.",8,"2",41,41,41,46,971,1049,0,5,-5,78
"22100002","LAL","Anthony Davis, Dwight Howard, Kent Bazemore, Malik Monk, Rajon Rondo",8,"2",46,41,46,41,1108,1108,0,0,0,0
"22100002","GSW","Andrew Wiggins, Draymond Green, Jordan Poole, Kevon Looney, Moses Moody",9,"2",41,46,41,46,1049,1108,0,0,0,59
"22100002","LAL","Anthony Davis, Dwight Howard, Kent Bazemore, Rajon Rondo, Russell Westbrook",9,"2",46,41,50,47,1108,1273,4,6,-2,165
