"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0042300101","7","1628369","Jayson Tatum","1610612738","Boston Celtics","1","11","42","Missed Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","11","1","0","20240421","BOS","MIA"
"Shot Chart Detail","0042300101","9","1627759","Jaylen Brown","1610612738","Boston Celtics","1","11","39","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-159","210","1","1","20240421","BOS","MIA"
"Shot Chart Detail","0042300101","11","1628389","Bam Adebayo","1610612748","Miami Heat","1","11","21","Missed Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","-21","171","1","0","20240421","BOS","MIA"
"Shot Chart Detail","0042300101","13","1627759","Jaylen Brown","1610612738","Boston Celtics","1","11","12","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-1","20","1","1","20240421","BOS","MIA"
"Shot Chart Detail","0042300101","14","1629639","Tyler Herro","1610612748","Miami Heat","1","10","51","Missed Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-110","247","1","0","20240421","BOS","MIA"
"Shot Chart Detail","0042300101","16","204001","Kristaps Porzingis","1610612738","Boston Celtics","1","10","37","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","9","-58","81","1","1","20240421","BOS","MIA"
"Shot Chart Detail","0042300101","18","1631170","Jaime Jaquez Jr.","1610612748","Miami Heat","1","10","18","Missed Shot","Driving Dunk Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-1","40","1","0","20240421","BOS","MIA"
"Shot Chart Detail","0042300101","20","1628369","Jayson Tatum","1610612738","Boston Celtics","1","10","5","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","0","13","1","1","20240421","BOS","MIA"
"Shot Chart Detail","0042300101","24","1629639","Tyler Herro","1610612748","Miami Heat","1","9","42","Missed Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-127","66","1","0","20240421","BOS","MIA"
"Shot Chart Detail","0042300101","26","201950","Jrue Holiday","1610612738","Boston Celtics","1","9","25","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","164","209","1","1","20240421","BOS","MIA"
